,rate,signal_day,signal_count,observe_2,profit_2,expection_2
0,0.2,3.0,220648.0,117496.0,333.5480511312158,0.0015116749353323656
1,0.2,4.0,26678.0,14486.0,53.35616529552359,0.0020000061959488565
2,0.2,5.0,8800.0,4718.0,7.6117931817096895,0.0008649764979215556
3,0.2,6.0,2845.0,1591.0,4.532680711516247,0.0015932093889336543
4,0.2,7.0,793.0,470.0,3.6269191806320866,0.004573668575828608
5,0.2,8.0,87.0,67.0,1.144402683045502,0.013154053828109219
6,0.2,9.0,23.0,21.0,0.3787714916347656,0.016468325723250677
7,0.4,3.0,20393.0,10923.0,41.9660149809835,0.0020578637268172167
8,0.4,4.0,615.0,331.0,0.5450996347160822,0.0008863408694570443
9,0.4,5.0,223.0,127.0,0.5147159858600429,0.002308143434349968
10,0.4,6.0,71.0,37.0,0.0902647385070912,0.0012713343451702986
11,0.4,7.0,20.0,11.0,0.0857264035225081,0.004286320176125405
12,0.4,8.0,4.0,2.0,0.0237189618049377,0.005929740451234425
13,0.6000000000000001,3.0,12922.0,7014.0,34.848726009574285,0.0026968523455791894
14,0.6000000000000001,4.0,468.0,246.0,0.3693509853980823,0.0007892115072608597
15,0.6000000000000001,5.0,173.0,100.0,0.5610711110834182,0.0032431856131989495
16,0.6000000000000001,6.0,65.0,33.0,0.0435330635610744,0.0006697394394011446
17,0.6000000000000001,7.0,17.0,9.0,0.0720747493188175,0.004239691136401029
18,0.6000000000000001,8.0,4.0,2.0,0.0237189618049377,0.005929740451234425
19,0.8,3.0,8354.0,4626.0,28.25646560982033,0.0033823875520493573
20,0.8,4.0,366.0,202.0,0.5085968830226462,0.00138960897000723
21,0.8,5.0,144.0,84.0,0.500669212560475,0.0034768695316699655
22,0.8,6.0,51.0,25.0,-0.048791987335056,-0.0009567056340207058
23,0.8,7.0,17.0,9.0,0.0720747493188175,0.004239691136401029
24,0.8,8.0,4.0,2.0,0.0237189618049377,0.005929740451234425
25,1.0,3.0,5568.0,3106.0,18.86010915672488,0.0033872322479750147
26,1.0,4.0,276.0,148.0,0.3663519207548367,0.0013273620317204228
27,1.0,5.0,114.0,66.0,0.5337806993070107,0.0046822868360264095
28,1.0,6.0,41.0,19.0,-0.0179757933943429,-0.0004384339852278756
29,1.0,7.0,13.0,6.0,0.0153783360936757,0.001182948930282746
30,1.0,8.0,3.0,1.0,0.0149515816457485,0.004983860548582833
31,1.2,3.0,409.0,198.0,0.3994486904268688,0.00097664716485787
32,1.2,4.0,218.0,114.0,0.332324994707701,0.0015244265812279863
33,1.2,5.0,87.0,48.0,0.4249683138285141,0.004884693262396714
34,1.2,6.0,31.0,9.0,-0.1852109138485612,-0.005974545608018103
35,1.2,7.0,12.0,5.0,-0.0147921929837181,-0.001232682748643175
36,1.2,8.0,3.0,1.0,0.0149515816457485,0.004983860548582833
37,1.4,3.0,320.0,153.0,0.229184867101806,0.0007162027096931438
38,1.4,4.0,180.0,93.0,0.3075665320613723,0.0017087029558965129
39,1.4,5.0,78.0,41.0,0.3076286760607373,0.003943957385394068
40,1.4,6.0,29.0,9.0,-0.1393013138901958,-0.004803493582420545
41,1.4,7.0,10.0,5.0,0.0078924913434793,0.00078924913434793
42,1.4,8.0,3.0,1.0,0.0149515816457485,0.004983860548582833
43,1.6,3.0,278.0,136.0,0.5080319747117636,0.001827453146445193
44,1.6,4.0,148.0,72.0,-0.0599424934055029,-0.00040501684733447907
45,1.6,5.0,73.0,38.0,0.3065449115046252,0.004199245363077058
46,1.6,6.0,24.0,7.0,-0.1027314524762956,-0.004280477186512316
47,1.6,7.0,10.0,5.0,0.0078924913434793,0.00078924913434793
48,1.6,8.0,3.0,1.0,0.0149515816457485,0.004983860548582833
49,1.8,3.0,228.0,106.0,0.0863722259405169,0.00037882555237068815
50,1.8,4.0,132.0,67.0,0.0989718722380038,0.0007497869108939682
51,1.8,5.0,68.0,34.0,0.1086071534900997,0.0015971640219132309
52,1.8,6.0,22.0,7.0,-0.1006178278916974,-0.004573537631440791
53,1.8,7.0,9.0,4.0,-0.0113566768582656,-0.0012618529842517334
54,1.8,8.0,3.0,1.0,0.0149515816457485,0.004983860548582833
55,2.0,3.0,184.0,90.0,0.3006132749869933,0.0016337677988423548
56,2.0,4.0,119.0,60.0,0.0022041898305621,1.8522603618168907e-05
57,2.0,5.0,60.0,30.0,0.078406794719893,0.0013067799119982166
58,2.0,6.0,20.0,6.0,-0.0883257290449331,-0.004416286452246655
59,2.0,7.0,8.0,3.0,-0.0165621865665162,-0.002070273320814525
60,2.0,8.0,2.0,1.0,0.0187125086634349,0.00935625433171745
